country,Total Receipts,GDP,Investments,Net wages,Average Salary,Consumer Confidence Index,Pension net capital,Corruption,Crime Rate,Imprisoned population,Equipment capital,Health condition,Natural Resources,Biomedics,Engineering,Information/informatics,Mathematics Economy,Physical sciences,Social sciences,Military,Humanities,Foreign Languages,Artistry,Educated population,Roads,Techn.,Highways,Techn.,Rail,Techn.,Airports,Techn.,Docks,Techn.,Units,Techn.,Equipment capital,Housing units,Inflation,National Debt,Debt interest rate,Majątek pracowników,Majątek przed.,Wartość krajowych spółek giełdowych,family Values,m0
"USA","1763418,7855142","14991300","2897925,49332767","7173001,90053251","46073,053135352","60","9053958,00082022","0,08","0,048","0,0025779903","1373481,4590096","0,8138778145","100","100","100","100","100","100","100","100","100","100","100","99,8770098361","6506204","95","75238","95","226427","95","975","95","192","95","250258,4","95","8153690,42597848","110952000","0,014","15969482,325","0,014","15996873,9755626","27186394,4067442","15750742,3184708","0,6","1990000000000"
"Canada","540218,522115328","1788627,6962","383321,704919603","640643,019780536","44328,5797525516","60","2567219,0211372","0,032","0,016","0,0011471429","257461,067737073","0,8355983084","100","100","100","100","100","100","100","100","100","100","100","13,2612262295","1042300","95","17000","95","46552","95","79","95","76","95","191084","95","498964,077863924","11562975","0,016","1531798,64530264","0,016","1458049,79827237","2473252,76937935","3020620,18827271","0,5","268294154400"
"Mexico","1777106,45332855","14582165,338","5674191,94515422","2906780,28162757","84754,7807462867","60","18187077,8959314","0,35","0,285","0,0064555791","258850,422180191","0,2325373807","81","81","81","81","81","81","81","81","81","81","81","11,1653982301","366095","76","6279","76","26704","76","40","76","10","76","85063,2","76","2938787,30958661","28159373","0,041","6346012,53344422","0,041","144902,403056138","5155111,40809366","25174787,3544764","0,7","2700400989000"
"Central America","79233,4302246797","467132","166223,13723433","101898,430951809","3353,4372959398","60","784151,15053976","0,35","0,165","0,0039327773","15694,3289169302","0,2312383601","81","81","81","81","81","81","81","81","81","81","81","2,812300885","226852","76","638","76","5076","76","112","76","10","76","51813,8588235294","76","25023,2415334919","4724114","0,014","100","0,014","4566,2331349702","179837,224311502","972152,110012581","0,65","1990000000000"
"Brazil","778859,423916298","4844577,0211","1835656,74042715","915749,754728369","14919,1492597113","60","6794185,46372899","0,35","0,21","0,004767971","114936,928869064","0,228018749","81","81","81","81","81","81","81","81","81","81","81","13,5840380531","1751868","76","1","76","29817","76","55","76","92","76","79823,8","76","356537,328410915","13997563","0,049","3317033,44057696","0,049","33042,4625854178","1471384,48995389","9109288,47459621","0,7","897143892800"
"Argentina","556427,190711929","3683252,144","1412907,49478852","691241,66845024","39177,3128138365","60","4752691,59203555","0,35","0,034","0,0007674446","32870,1525409615","0,2270527983","81","81","81","81","81","81","81","81","81","81","81","3,0728023599","311879","76","3121","76","41795","76","33","76","10","76","75200,8","76","143610,003949581","6591952","0,25","1653043,5622272","0,25","34625,045665772","1573031,28196575","6614859,61610462","0,7","682083730400"
"Venezuela","268805,879530679","1985387,505","728811,044865071","442993,944492032","46546,538933044","60","2575166,58366353","0,35","0,2","0,0048615606","27888,0786043658","0,2384421757","81","81","81","81","81","81","81","81","81","81","81","0,8866076696","96155","76","1","76","336","76","17","76","5","76","45305,4","76","333882,731769173","1798363","0,298","100","0,298","17474,0314023494","803064,98731173","3683258,37763446","0,75","367664352800"
"Columbia","59605,3220867058","333185","125622,619061865","59747,3076340571","4585,5264101501","60","556928,244067325","0,35","0,2","0,0047620488","9856,7844402179","0,2323888677","81","81","81","81","81","81","81","81","81","81","81","1,4407374631","141374","76","1","76","1663","76","15","76","0","76","21882,2","76","85772,5087901896","10570899","0,014","109411,2903","0,014","1575,0528539975","77922,3694953852","696402,030962737","0,75","1990000000000"
"Ecuador","12096,9028452178","66381","24754,3865893811","12165,1402826226","2710,0079557908","60","105491,812238152","0,35","0,2","0,0047642559","2404,1524925667","0,223774803","81","81","81","81","81","81","81","81","81","81","81","0,4867477876","43671","76","1","76","966","76","55","76","0","76","19416,6","76","7576,0525643138","752578","0,014","12355,49553","0,014","341,7168819331","16616,6076474172","134605,836697148","0,75","1990000000000"
"Peru","74368,2516906465","465777,584","171452,127728819","95993,5066797454","10897,1917705846","60","632506,891758826","0,3","0,103","0,00278572","13499,7637436943","0,2319360012","81","81","81","81","81","81","81","81","81","81","81","0,956939528","137327","76","1","76","2021","76","4","76","0","76","20957,6","76","116604,04617056","6926622","0,015","92032,99282256","0,015","3762,014373558","145576,915837274","860922,793942509","0,75","86255108150"
