country,Low,Medium,High,Payroll tax,CIT,Redundancy Tax (as % of regular salary),VAT,Sales Tax,Tariff,Lands,Improvements to lands,Movable property,Inheritance tax,Capital Gains Tax,Financial Transaction Tax,Tolls,Crime Fees,Low Tax margin rate,Medium Tax margin rate,Tax government employee,Tax Government beneficiers,Projected,Salary,Working Age,minimum salary,Unemployment benefits as % of average salary,Unemployment benefits duration as year(s),Unemployment benefits strenght,Retirement age,Government pension funding as % of past salary,Projected,Salary (% of average),Projected (needs to execute the law),Salary (% of average),Funding equipment,Free speech,Free press,Free Internet,Free access to education,National library system,Right to fair trial,Free supreme court,Free district courts,Migration policy,Assimilation,Religious Tolerance,Tolerate intolerant,Heavy weapons for police,Personal ID,Opressed document verification,Tax investigations,Funding of healthcare needs,Salary,Starting education age,Ending education age,Number of educational days,Number of child in groups,Teachers salar as % of average salary,Planned Students,Funding research as % of GDP,Natural Resources,Biomedics,Engineering,Information/informatics,Mathematics Economy,Physical sciences,Social sciences,Military,Humanities,Foreign Languages,Artistry,Equipment,Patent rights,Roadways,Highways,Railways,Airports,Navy,Vehicles,Upkeep ratio,Soldiers as % of population,Average salary (yearly,National conscription starting age,National conscroption ending age,Funding equipment as % of GDP,Family allowances per child as % of average income,interest rates,Conventional,Clean,Nuclear,Coal,Copper,Iron,Uranium,Other mining,Petroleum,Natural Gas
"USA","0","150","300","200","40","0","10","0","50","10","0","0","10","0","0","10","100","500","2500","1","1","17","1000","16","500","500","500","600","65","50","3","1000","1000","1000","50","1","1","1","1","1","1","1","1","3","2","1","1","1","1","1","1","50","1000","6","18","256","20","1000","460","35","120","120","100","120","120","120","50","100","50","50","50","1000","2","2","1","1","0","0","1","1000","1","1000","0","0","5","31","31","300","100","600","139","90","30","50","50","100","210"
"Canada","40","120","200","70","250","0","70","100","30","10","0","0","0","0","0","10","50","500","2000","1","1","26","1000","16","500","1000","2000","1200","65","750","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","700","1000","5","18","256","20","1000","550","40","120","120","100","120","120","120","50","100","50","50","50","1000","2","4","1","2","1","1","1","1000","1","1000","0","0","0","10","10","210","640","150","0","5","10","50","20","40","50"
"Mexico","0","100","200","350","280","0","160","0","100","10","0","0","0","0","0","50","50","500","2000","1","1","2","800","12","0","250","500","350","65","200","3","1000","1000","1000","15","1","1","1","1","1","1","1","1","4","1","1","0","1","1","1","1","50","1000","7","12","256","35","1000","140","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","18","18","0","0","0","720","240","40","0","0","5","0","5","35","20"
"Central America","160","219","277","185","321","0","132","0","70","10","0","0","0","0","0","0","50","500","2000","1","1","2","800","12","0","0","0","0","62","200","3","1000","1000","1000","15","1","0","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","800","1","1000","18","18","0","31","31","590","410","0","0","0","0","0","0","1","10"
"Brazil","0","140","280","310","340","0","120","0","130","10","0","0","0","0","0","0","50","500","2000","1","1","2","500","12","0","250","500","350","65","50","3","1000","1000","1000","15","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","102","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","800","1","1000","18","18","0","88","88","90","880","30","0","0","120","0","50","30","10"
"Argentina","90","232","375","200","270","0","200","0","120","10","0","0","0","0","0","0","50","500","2000","1","1","2","450","12","0","250","500","350","65","150","3","1000","1000","1000","5","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","36","1000","80","4","120","120","100","120","120","120","50","100","50","50","50","250","0","2","0","1","0","0","0","800","1","1000","0","0","0","60","60","650","270","80","0","500","5","50","5","1","10"
"Venezuela","60","200","340","0","240","0","120","0","140","10","0","0","0","0","0","0","50","400","2000","1","1","2","600","12","0","0","0","0","60","100","3","1000","1000","1000","15","0","0","1","1","1","0","0","1","4","1","0","1","1","1","1","1","0","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","0","1","0","0","1","1000","1","1000","0","0","0","285","285","300","700","0","0","0","5","0","5","30","10"
"Columbia","0","165","330","0","330","0","160","0","90","10","0","0","0","0","0","0","50","500","2000","1","1","2","600","12","0","250","500","350","60","200","3","1000","1000","1000","15","1","0","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","150","850","0","0","0","0","0","5","10","0"
"Ecuador","0","0","0","0","300","0","120","0","120","10","0","0","0","0","0","0","50","500","2000","1","1","2","600","12","0","250","500","350","65","200","3","1000","1000","1000","15","1","0","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","200","1","800","18","18","0","31","31","360","640","0","0","0","0","0","5","1","0"
"Peru","0","150","300","90","300","0","160","0","40","10","0","0","0","0","0","0","50","500","2000","1","1","2","800","12","0","250","500","350","65","200","3","1000","1000","1000","15","1","0","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","0","0","0","65","65","400","600","0","0","90","5","0","5","1","0"
