Population by age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
"0","3368","3368","3705","3705","4041","4041","4041","4378","4378","4378","4715","4715","5052","5052","5052","5389","5389","5726","5726","6062","6399","6736","6736","7073","7410","7410","7747","7410","7410","7410","7073","7073","7073","6736","6736","6736","6736","6399","6062","6062","6062","6062","5726","5726","5389","5052","4715","4378","4041","3705","3368","3031","2694","2357","2357","2020","2020","1684","1347","1347","1010","1010","673","673","336","336","168","168","0","0","0","0","0","0","0","0"
"1","368","368","405","405","441","441","441","478","478","478","515","515","552","552","552","589","589","626","626","662","699","736","736","773","810","810","847","810","810","810","773","773","773","736","736","736","736","699","662","662","662","662","626","626","589","552","515","478","441","405","368","331","294","257","257","220","220","184","147","147","110","110","73","73","36","36","18","18","0","0","0","0","0","0","0","0"
"2","3315","3315","3315","3315","3232","3232","3149","3066","3066","2984","2901","2818","2735","2652","2569","2486","2403","2320","2238","2238","2155","2072","2072","1989","1989","1906","1906","1823","1823","1823","1740","1740","1740","1657","1657","1657","1657","1574","1492","1492","1492","1492","1409","1409","1326","1243","1160","1077","994","911","828","746","663","580","580","497","497","414","331","331","248","248","165","165","82","82","41","41","0","0","0","0","0","0","0","0"
"3","2525","2525","2525","2525","2461","2461","2398","2335","2335","2272","2209","2146","2083","2020","1956","1893","1830","1767","1704","1704","1641","1578","1578","1515","1515","1451","1451","1388","1388","1388","1325","1325","1325","1262","1262","1262","1262","1199","1136","1136","1136","1136","1073","1073","1010","946","883","820","757","694","631","568","505","441","441","378","378","315","252","252","189","189","126","126","63","63","31","31","0","0","0","0","0","0","0","0"
"4","5932","5932","5932","5932","5783","5783","5635","5487","5487","5338","5190","5042","4894","4745","4597","4449","4300","4152","4004","4004","3855","3707","3707","3559","3559","3410","3410","3262","3262","3262","3114","3114","3114","2966","2966","2966","2966","2817","2669","2669","2669","2669","2521","2521","2372","2224","2076","1927","1779","1631","1483","1334","1186","1038","1038","889","889","741","593","593","444","444","296","296","148","148","74","74","0","0","0","0","0","0","0","0"
"5","1710","1710","1710","1710","1668","1668","1625","1582","1582","1539","1497","1454","1411","1368","1325","1283","1240","1197","1154","1154","1112","1069","1069","1026","1026","983","983","941","941","941","898","898","898","855","855","855","855","812","769","769","769","769","727","727","684","641","598","556","513","470","427","384","342","299","299","256","256","213","171","171","128","128","85","85","42","42","21","21","0","0","0","0","0","0","0","0"
"6","802","802","802","802","782","782","762","742","742","722","702","682","661","641","621","601","581","561","541","541","521","501","501","481","481","461","461","441","441","441","421","421","421","401","401","401","401","381","361","361","361","361","341","341","320","300","280","260","240","220","200","180","160","140","140","120","120","100","80","80","60","60","40","40","20","20","10","10","0","0","0","0","0","0","0","0"
"7","1303","1303","1303","1303","1271","1271","1238","1206","1206","1173","1140","1108","1075","1043","1010","977","945","912","880","880","847","814","814","782","782","749","749","717","717","717","684","684","684","651","651","651","651","619","586","586","586","586","554","554","521","488","456","423","391","358","325","293","260","228","228","195","195","162","130","130","97","97","65","65","32","32","16","16","0","0","0","0","0","0","0","0"
"8","433","433","433","433","422","422","411","401","401","390","379","368","357","346","336","325","314","303","292","292","281","271","271","260","260","249","249","238","238","238","227","227","227","216","216","216","216","205","195","195","195","195","184","184","173","162","151","140","130","119","108","97","86","75","75","65","65","54","43","43","32","32","21","21","10","10","5","5","0","0","0","0","0","0","0","0"
"9","852","852","852","852","831","831","809","788","788","767","745","724","703","682","660","639","618","596","575","575","554","532","532","511","511","490","490","468","468","468","447","447","447","426","426","426","426","404","383","383","383","383","362","362","341","319","298","277","255","234","213","191","170","149","149","127","127","106","85","85","63","63","42","42","21","21","10","10","0","0","0","0","0","0","0","0"
"10","294","294","294","294","287","287","280","272","272","265","258","250","243","235","228","221","213","206","199","199","191","184","184","176","176","169","169","162","162","162","154","154","154","147","147","147","147","140","132","132","132","132","125","125","117","110","103","95","88","81","73","66","58","51","51","44","44","36","29","29","22","22","14","14","7","7","3","3","0","0","0","0","0","0","0","0"
"11","185","185","185","185","181","181","176","171","171","167","162","157","153","148","144","139","134","130","125","125","120","116","116","111","111","106","106","102","102","102","97","97","97","92","92","92","92","88","83","83","83","83","78","78","74","69","65","60","55","51","46","41","37","32","32","27","27","23","18","18","13","13","9","9","4","4","2","2","0","0","0","0","0","0","0","0"
"12","97","97","97","97","94","94","92","90","90","87","85","82","80","77","75","73","70","68","65","65","63","60","60","58","58","55","55","53","53","53","51","51","51","48","48","48","48","46","43","43","43","43","41","41","38","36","34","31","29","26","24","21","19","17","17","14","14","12","9","9","7","7","4","4","2","2","1","1","0","0","0","0","0","0","0","0"
"13","680","680","748","748","817","817","817","885","885","885","953","953","1021","1021","1021","1089","1089","1157","1157","1225","1293","1361","1361","1429","1497","1497","1566","1497","1497","1497","1429","1429","1429","1361","1361","1361","1361","1293","1225","1225","1225","1225","1157","1157","1089","1021","953","885","817","748","680","612","544","476","476","408","408","340","272","272","204","204","136","136","68","68","34","34","0","0","0","0","0","0","0","0"
"14","891","891","980","980","1070","1070","1070","1159","1159","1159","1248","1248","1337","1337","1337","1426","1426","1516","1516","1605","1694","1783","1783","1872","1961","1961","2051","1961","1961","1961","1872","1872","1872","1783","1783","1783","1783","1694","1605","1605","1605","1605","1516","1516","1426","1337","1248","1159","1070","980","891","802","713","624","624","535","535","445","356","356","267","267","178","178","89","89","44","44","0","0","0","0","0","0","0","0"
"15","710","710","781","781","852","852","852","923","923","923","994","994","1065","1065","1065","1136","1136","1207","1207","1278","1349","1420","1420","1491","1562","1562","1633","1562","1562","1562","1491","1491","1491","1420","1420","1420","1420","1349","1278","1278","1278","1278","1207","1207","1136","1065","994","923","852","781","710","639","568","497","497","426","426","355","284","284","213","213","142","142","71","71","35","35","0","0","0","0","0","0","0","0"
"16","663","663","729","729","796","796","796","862","862","862","928","928","995","995","995","1061","1061","1127","1127","1194","1260","1326","1326","1393","1459","1459","1525","1459","1459","1459","1393","1393","1393","1326","1326","1326","1326","1260","1194","1194","1194","1194","1127","1127","1061","995","928","862","796","729","663","597","530","464","464","398","398","331","265","265","199","199","132","132","66","66","33","33","0","0","0","0","0","0","0","0"
"17","508","508","559","559","609","609","609","660","660","660","711","711","762","762","762","813","813","863","863","914","965","1016","1016","1067","1118","1118","1168","1118","1118","1118","1067","1067","1067","1016","1016","1016","1016","965","914","914","914","914","863","863","813","762","711","660","609","559","508","457","406","355","355","304","304","254","203","203","152","152","101","101","50","50","25","25","0","0","0","0","0","0","0","0"
"18","116","116","128","128","140","140","140","152","152","152","163","163","175","175","175","187","187","198","198","210","222","233","233","245","257","257","268","257","257","257","245","245","245","233","233","233","233","222","210","210","210","210","198","198","187","175","163","152","140","128","116","105","93","81","81","70","70","58","46","46","35","35","23","23","11","11","5","5","0","0","0","0","0","0","0","0"
"19","293","293","323","323","352","352","352","382","382","382","411","411","440","440","440","470","470","499","499","529","558","587","587","617","646","646","676","646","646","646","617","617","617","587","587","587","587","558","529","529","529","529","499","499","470","440","411","382","352","323","293","264","235","205","205","176","176","146","117","117","88","88","58","58","29","29","14","14","0","0","0","0","0","0","0","0"
"20","83","83","91","91","99","99","99","107","107","107","116","116","124","124","124","132","132","141","141","149","157","166","166","174","182","182","191","182","182","182","174","174","174","166","166","166","166","157","149","149","149","149","141","141","132","124","116","107","99","91","83","74","66","58","58","49","49","41","33","33","24","24","16","16","8","8","4","4","0","0","0","0","0","0","0","0"
"21","89","89","98","98","107","107","107","116","116","116","125","125","134","134","134","143","143","152","152","161","170","179","179","188","197","197","206","197","197","197","188","188","188","179","179","179","179","170","161","161","161","161","152","152","143","134","125","116","107","98","89","80","71","62","62","53","53","44","35","35","26","26","17","17","8","8","4","4","0","0","0","0","0","0","0","0"
"22","61","61","67","67","73","73","73","79","79","79","85","85","91","91","91","97","97","104","104","110","116","122","122","128","134","134","140","134","134","134","128","128","128","122","122","122","122","116","110","110","110","110","104","104","97","91","85","79","73","67","61","55","48","42","42","36","36","30","24","24","18","18","12","12","6","6","3","3","0","0","0","0","0","0","0","0"
"23","98","98","108","108","118","118","118","127","127","127","137","137","147","147","147","157","157","167","167","177","186","196","196","206","216","216","226","216","216","216","206","206","206","196","196","196","196","186","177","177","177","177","167","167","157","147","137","127","118","108","98","88","78","68","68","59","59","49","39","39","29","29","19","19","9","9","4","4","0","0","0","0","0","0","0","0"
"24","50","50","55","55","60","60","60","65","65","65","70","70","75","75","75","80","80","85","85","90","95","100","100","105","110","110","115","110","110","110","105","105","105","100","100","100","100","95","90","90","90","90","85","85","80","75","70","65","60","55","50","45","40","35","35","30","30","25","20","20","15","15","10","10","5","5","2","2","0","0","0","0","0","0","0","0"
