0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"22061","24366","7429","7363","7411","7383","7357","7357","7372","7932","9084","8518","7483","22366","25124","23345","18916","16563","15932","22437","22151","22593","22650","22864","22378","22501","12293","15299","13412","16319","14274","14297","13827","14184","15882","18390","13643","14712","9025","8349","9200","9171","16322","14679","22185","21596","9493","9037","20283","20762","11656","8627","6066","5387"
"21807","23535","7433","7362","7411","7385","7358","7357","7372","7933","9085","8521","7485","22578","25222","22947","19251","16558","16015","21863","21826","22216","22513","23404","22442","22183","12317","15194","13390","16187","14242","14291","13720","14183","15928","18398","13646","14717","9027","8351","9201","9172","16323","14679","22420","21283","9493","9037","20386","20813","11758","8629","6066","5387"
"21823","23595","7428","7364","7411","7382","7357","7358","7373","7932","9084","8518","7483","22349","24997","23107","18984","16622","15937","22073","21654","22093","22472","23248","22447","22243","12269","15142","13437","16257","14304","14335","13797","14168","15896","18364","13637","14714","9025","8350","9200","9172","16324","14680","22366","21093","9493","9038","20403","20507","11712","8629","6066","5387"
"21976","24513","7428","7362","7412","7382","7356","7357","7372","7932","9084","8518","7483","22542","24931","22843","19209","16532","15813","21987","22388","22995","22714","23287","22723","22196","12276","15157","13406","16205","14221","14268","13809","14160","15888","18924","13639","14712","9024","8349","9200","9172","16323","14679","22250","21650","9493","9036","20197","20428","11629","8628","6066","5387"
"24065","25442","7437","7363","7412","7396","7394","7398","7371","7934","9084","8519","7512","24508","26123","24460","23096","20032","18663","22169","23417","23827","22546","24870","24579","22661","12961","15876","13401","16494","14607","14317","13858","14592","16005","18472","13648","14727","9033","8353","9221","9191","16329","14690","24238","21037","9495","9038","21122","24599","11824","8632","6066","5389"
"24065","25042","7480","7387","7434","7437","7370","7387","7381","7943","9104","8558","7508","24562","25245","24520","21789","16502","15953","21807","22730","23024","23475","24910","24627","22139","12271","15286","13403","17418","15010","14270","13752","14244","16844","19897","14122","14727","9025","8359","9200","9186","16324","14680","24260","22010","9493","9046","24431","24763","13442","8633","6067","5390"
"24050","25455","7491","7364","7411","7424","7357","7357","7407","7944","9094","8566","7484","24562","26123","24464","23132","18992","16173","24422","21862","22112","24775","24904","24365","24256","12528","15103","13418","16537","15309","14847","14233","14246","17291","18921","13716","14733","9028","8352","9224","9194","16326","14682","23968","24119","9493","9038","22278","24067","13685","8660","6066","5389"
"22390","25399","7430","7363","7421","7384","7359","7372","7374","7943","9084","8519","7494","23972","26123","22674","19186","18457","17073","24285","24487","24519","24704","23198","22246","24256","12273","15460","13638","18900","15189","15390","15165","14210","18248","18511","13986","14717","9028","8361","9216","9180","16364","14702","22023","22658","9493","9044","24106","20998","11807","8627","6068","5389"
"21605","25432","7506","7383","7431","7432","7390","7388","7407","7971","9091","8520","7517","24462","26123","22978","20943","17122","18347","24422","24487","24519","24758","24504","23000","24256","12414","15616","13942","16215","14606","14291","13796","14366","16065","20072","13757","14767","9096","8396","9201","9172","16399","14737","23003","24042","9494","9037","24415","20523","11690","8646","6071","5389"
"23981","25453","7429","7368","7413","7393","7356","7360","7374","7932","9084","8518","7489","24562","25955","24520","18825","18197","18746","22907","24356","24344","23817","24910","24627","24208","12291","15343","13483","17546","15081","14542","13865","14374","15991","18376","13793","14725","9024","8358","9201","9174","16325","14692","24260","21462","9495","9038","24218","22783","14186","8629","6066","5388"
"23235","24034","7447","7367","7412","7383","7358","7358","7379","7932","9084","8524","7486","23340","25882","22945","19072","17040","15840","21837","23683","23238","22810","23413","24212","22799","12353","15460","13475","16245","14298","14324","13787","14196","16154","18417","13683","14711","9026","8349","9203","9179","16323","14685","23718","22835","9495","9036","20785","21273","11747","8633","6068","5388"
"23216","24609","7428","7362","7411","7389","7357","7363","7374","7932","9083","8520","7490","22590","25469","23495","19097","16498","16295","23642","22117","24155","24048","23457","22128","23951","12363","15590","13569","16254","14447","14431","14001","14162","15888","18782","13654","14715","9027","8350","9205","9176","16328","14678","23068","21662","9492","9041","20441","20810","12400","8628","6067","5387"
"21526","23515","7427","7362","7411","7382","7356","7357","7371","7932","9083","8518","7483","22156","24533","22369","18922","16521","15843","21783","21603","21841","22313","22678","22057","21976","12275","15133","13389","16190","14215","14277","13727","14154","15814","18407","13619","14711","9024","8348","9200","9171","16321","14679","21766","21021","9492","9036","20265","20444","11612","8627","6066","5387"
"21851","20850","7333","7269","7318","7289","7263","7264","7279","7832","8969","8411","7390","22461","24288","22032","18859","16576","15526","19532","19557","19579","19865","20010","19687","19476","12277","15154","13210","16225","14228","14278","13534","14005","15551","17957","13626","14710","8910","8242","9079","9171","16321","14553","19450","19269","9368","9036","20148","19878","11352","8513","5987","5387"
"22030","24108","7333","7269","7318","7382","7263","7264","7279","7932","8969","8411","7390","19682","21203","19630","18327","16123","15526","19532","19557","19579","19865","20010","19687","19476","12322","14847","13210","15929","14029","14069","13534","14005","15551","17957","13640","14584","8910","8242","9079","9057","16322","14553","19450","19269","9368","9036","20197","19878","11352","8513","5987","5387"
"21914","23904","7428","7269","7412","7383","7357","7264","7279","7932","8969","8411","7390","19682","21203","19630","18327","16123","15526","19532","19557","21720","19865","22675","21899","19476","12286","14847","13210","15929","14029","14069","13737","14168","15551","17957","13638","14711","8910","8348","9079","9171","16321","14553","19450","19269","9492","8917","20210","19878","11352","8513","5987","5387"
"22052","23895","7333","7269","7318","7383","7263","7264","7279","7832","8969","8518","7390","22264","24437","19630","18327","16650","15526","19532","19557","19579","19865","22630","19687","21685","12148","15124","13408","16231","14216","14069","13534","14169","15853","17957","13639","14713","8910","8242","9079","9172","16323","14553","19450","19269","9493","8917","20238","20495","11352","8513","6066","5387"
"21810","23876","7429","7269","7411","7383","7357","7358","7371","7932","9084","8518","7483","22054","24117","22082","18327","16123","15526","19532","19557","19579","19865","22392","21806","19476","12287","15145","13210","16188","14029","14069","13534","14171","15551","17957","13633","14712","9024","8349","9200","9172","16321","14678","21672","21007","9492","9036","20172","20517","11614","8628","6066","5387"
"21875","24192","7433","7362","7411","7384","7356","7357","7374","7934","9084","8519","7483","22456","21203","19630","18327","16123","15526","19532","19557","19579","22782","20010","22087","19476","12148","14847","13210","15929","14029","14069","13534","14005","15551","17957","13645","14711","9025","8348","9200","9172","16321","14678","22567","19269","9493","9036","20145","20515","11352","8628","6066","5387"
"21917","23560","7428","7362","7411","7382","7356","7264","7279","7832","9083","8411","7390","22551","24564","19630","18327","16123","15526","21600","19557","19579","19865","20010","21596","19476","12148","14847","13210","15929","14240","14069","13534","14005","15551","17957","13620","14711","9024","8348","9199","9171","16321","14680","19450","19269","9492","9037","20198","19878","11352","8627","6066","5316"
"22328","23956","7428","7362","7411","7382","7357","7357","7371","7932","9083","8518","7483","22745","24935","23280","19182","16739","15965","21844","21420","22675","22595","23911","22417","22579","12284","15177","13384","16263","14213","14316","13758","14162","15882","18550","13640","14711","9025","8348","9199","9172","16324","14679","22768","21087","9492","9037","20459","20885","11795","8627","6066","5387"
