"label","eng","pl"
"USA","USA","USA"
"Canada","Canada","Kanada"
"Mexico","Mexico","Meksyk"
"Central America","Central America","Ameryka łacińska"
"Brazil","Brazil","Brazylia"
"Argentina","Argentina","Argentyna"
"Venezuela","Venezuela","Wenezuela"
"Columbia","Columbia","Kolumbia"
"Ecuador","Ecuador","Ekwador"
"Peru","Peru","Peru"
"Bolivia","Bolivia","Boliwia"
"Paraguay","Paraguay","Paragwaj"
"Uruguay","Uruguay","Urugwaj"
"United Kingdom","United Kingdom","Wielka Brytania"
"Germany","Germany","Niemcy"
"France","France","Francja"
"Italy","Italy","Włochy"
"Spain","Spain","Hiszpania"
"Portugal","Portugal","Portugalia"
"Benelux","Benelux","Benelux"
"Switzerland","Switzerland","Szwajcaria"
"Austria","Austria","Austria"
"Denmark","Denmark","Dania"
"Sweden","Sweden","Szwecja"
"Norway","Norway","Norwegia"
"Finland","Finland","Finlandia"
"Poland","Poland","Polska"
"Czech Republic","Czech Republic","Czechy"
"Slovakia","Slovakia","Słowacja"
"Hungary","Hungary","Węgry"
"Romania","Romania","Rumunia"
"Bulgaria","Bulgaria","Bułgaria"
"Greece","Greece","Grecja"
"Balkans","Balkans","Bałkany"
"Baltic countries","Baltic countries","Kraje bałtyckie"
"Ireland","Ireland","Irlandia"
"Russia","Russia","Rosja"
"Turkey","Turkey","Turcja"
"Arab countries","Arab countries","Kraje arabskie"
"Iran","Iran","Iran"
"Pakistan","Pakistan","Pakistan"
"India","India","Indie"
"China","China","Chiny"
"Indochina","Indochina","Indochiny"
"Japan","Japan","Japonia"
"South Korea","South Korea","Korea południowa"
"Central Asia","Central Asia","Azja środkowa"
"Indonesia","Indonesia","Indonezja"
"Australia","Australia","Australia"
"New Zaeland","New Zaeland","Nowa zelandia"
"Oceania","Oceania","Oceania"
"Arabian Africa","North Africa","Afryka północna"
"Central Africa","Central Africa","Afryka środkowa"
"South Africa","South Africa","Afryka południowa"
"Taxation","Taxation","Podatki"
"Administration","Administration","Administracja"
"Education","Education","Edukacja"
"Research","Research","Nauka"
"Social","Social policy","Polityka społeczna"
"Infrastructure","Infrastructure","Infrastruktura"
"Security","Security","Policja i sądownictwo"
"Military","Military","Obrona narodowa"
"Central bank","Central bank","Bank centralny"
"New game","NEW GAME","NOWA GRA"
"Load game","LOAD GAME","Wczytaj grę"
"country selection","Country selection","Wybór kraju"
"GDP","GDP","PKB"
"GDP/c","GDP/c","PKB/c"
"Nominal GDP growth","Nominal GDP growth r.","Nominalny wzrost PKB"
"Production growth rate","Production growth r.","Wzrost produkcji"
"Population","Inhabitants","Mieszkańcy"
"Spending","Spending","Wydatki"
"Investments","Investments","Inwestycje"
